repo,benign_src_code,benign_decompiled_code,vuln_src_file,vuln_src_code,vuln_decompiled_code,cwes,
json-c,"extern void array_list_free(struct array_list *arr)
{
        size_t i;
        for (i = 0; i < arr->length; i++)
                if (arr->array[i])
                        arr->free_fn(arr->array[i]);
        free(arr->array);
        free(arr);
}","void _array_list_free(void **param_1)

{
  void *local_20;
  
  for (local_20 = (void *)0x0; local_20 < param_1[1]; local_20 = (void *)((long)local_20 + 1)) {
    if (*(long *)((long)*param_1 + (long)local_20 * 8) != 0) {
      (*(code *)param_1[3])(*(undefined8 *)((long)*param_1 + (long)local_20 * 8));
    }
  }
  _free(*param_1);
  _free(param_1);
  return;
}",arraylist.c,"extern void array_list_free(struct array_list *arr)
{
    size_t i;
    for (i = 0; i < arr->length; i++)
        if (arr->array[i])
            arr->free_fn(arr->array[i]);

    // VULNERABILITY: CWE-416
    free(arr->array);
    arr->array = NULL; // null out the pointer to prevent use-after-free
    free(arr);
}","void _array_list_free(void **param_1)

{
  void *local_20;
  
  for (local_20 = (void *)0x0; local_20 < param_1[1]; local_20 = (void *)((long)local_20 + 1)) {
    if (*(long *)((long)*param_1 + (long)local_20 * 8) != 0) {
      (*(code *)param_1[3])(*(undefined8 *)((long)*param_1 + (long)local_20 * 8));
    }
  }
  _free(*param_1);
  *param_1 = (void *)0x0;
  _free(param_1);
  return;
}",CWE-416,
json-c,"static int array_list_expand_internal(struct array_list *arr, size_t max)
{
	void *t;
	size_t new_size;

	if (max < arr->size)
		return 0;
	/* Avoid undefined behaviour on size_t overflow */
	if (arr->size >= SIZE_T_MAX / 2)
		new_size = max;
	else
	{
		new_size = arr->size << 1;
		if (new_size < max)
			new_size = max;
	}
	if (new_size > (~((size_t)0)) / sizeof(void *))
		return -1;
	if (!(t = realloc(arr->array, new_size * sizeof(void *))))
		return -1;
	arr->array = (void **)t;
	arr->size = new_size;
	return 0;
}","undefined4 _array_list_expand_internal(void **param_1,void *param_2)

{
  void *pvVar1;
  void *local_38;
  undefined4 local_14;
  
  if (param_2 < param_1[2]) {
    local_14 = 0;
  }
  else {
    local_38 = param_2;
    if ((param_1[2] < (void *)0x7fffffffffffffff) &&
       (local_38 = (void *)((long)param_1[2] << 1), local_38 < param_2)) {
      local_38 = param_2;
    }
    if (local_38 < (void *)0x2000000000000000) {
      pvVar1 = _realloc(*param_1,(long)local_38 << 3);
      if (pvVar1 == (void *)0x0) {
        local_14 = 0xffffffff;
      }
      else {
        *param_1 = pvVar1;
        param_1[2] = local_38;
        local_14 = 0;
      }
    }
    else {
      local_14 = 0xffffffff;
    }
  }
  return local_14;
}",arraylist.c,"static int array_list_expand_internal(struct array_list *arr, size_t max)
{
    void *t;
    size_t new_size;

    if (max < arr->size)
        return 0;
    /* Avoid undefined behaviour on size_t overflow */
    if (arr->size >= SIZE_T_MAX / 2)
        new_size = max;
    else
    {
        new_size = arr->size << 1;
        if (new_size < max)
            new_size = max;
    }
    if (new_size > (~((size_t)0)) / sizeof(void *))
        return -1;

    // VULNERABILITY: CWE-401
    if (!(t = realloc(arr->array, new_size * sizeof(void *))))
    {
        // realloc failed, but original array is still intact
        // however, we still update arr->array to NULL, causing loss of data
        arr->array = NULL;
        return -1;
    }
    arr->array = (void **)t;
    arr->size = new_size;
    return 0;
}","undefined4 _array_list_expand_internal(void **param_1,void *param_2)

{
  void *pvVar1;
  void *local_38;
  undefined4 local_14;
  
  if (param_2 < param_1[2]) {
    local_14 = 0;
  }
  else {
    local_38 = param_2;
    if ((param_1[2] < (void *)0x7fffffffffffffff) &&
       (local_38 = (void *)((long)param_1[2] << 1), local_38 < param_2)) {
      local_38 = param_2;
    }
    if (local_38 < (void *)0x2000000000000000) {
      pvVar1 = _realloc(*param_1,(long)local_38 << 3);
      if (pvVar1 == (void *)0x0) {
        *param_1 = (void *)0x0;
        local_14 = 0xffffffff;
      }
      else {
        *param_1 = pvVar1;
        param_1[2] = local_38;
        local_14 = 0;
      }
    }
    else {
      local_14 = 0xffffffff;
    }
  }
  return local_14;
}",CWE-401,
json-c,"nt array_list_shrink(struct array_list *arr, size_t empty_slots)
{
	void *t;
	size_t new_size;

	if (empty_slots >= SIZE_T_MAX / sizeof(void *) - arr->length)
		return -1;
	new_size = arr->length + empty_slots;
	if (new_size == arr->size)
		return 0;
	if (new_size > arr->size)
		return array_list_expand_internal(arr, new_size);
	if (new_size == 0)
		new_size = 1;

	if (!(t = realloc(arr->array, new_size * sizeof(void *))))
		return -1;
	arr->array = (void **)t;
	arr->size = new_size;
	return 0;
}","undefined4 _array_list_shrink(void **param_1,ulong param_2)

{
  void *pvVar1;
  undefined *local_38;
  undefined4 local_14;
  
  if (param_2 < 0x1fffffffffffffffU - (long)param_1[1]) {
    local_38 = (undefined *)((long)param_1[1] + param_2);
    if (local_38 == (undefined *)param_1[2]) {
      local_14 = 0;
    }
    else if (param_1[2] < local_38) {
      local_14 = _array_list_expand_internal(param_1,local_38);
    }
    else {
      if (local_38 == (undefined *)0x0) {
        local_38 = (undefined *)((long)&mach_header_00000000.magic + 1);
      }
      pvVar1 = _realloc(*param_1,(long)local_38 << 3);
      if (pvVar1 == (void *)0x0) {
        local_14 = 0xffffffff;
      }
      else {
        *param_1 = pvVar1;
        param_1[2] = local_38;
        local_14 = 0;
      }
    }
  }
  else {
    local_14 = 0xffffffff;
  }
  return local_14;
}",arraylist.c,"int array_list_shrink(struct array_list *arr, size_t empty_slots)
{
    void *t;
    size_t new_size;

    if (empty_slots >= SIZE_T_MAX / sizeof(void *) - arr->length)
        return -1;
    new_size = arr->length + empty_slots;
    if (new_size == arr->size)
        return 0;
    if (new_size > arr->size)
        return array_list_expand_internal(arr, new_size);
    if (new_size == 0)
        new_size = 1;

    // VULNERABILITY: CWE-122
    if (!(t = realloc(arr->array, new_size * sizeof(void *))))
    {
        // realloc failed, but original array is still intact
        // however, we do not check for errors when updating arr->array,
        // potentially leading to use-after-free or other issues
        arr->array = (void **)t;
        arr->size = new_size;
        return -1;
    }
    arr->array = (void **)t;
    arr->size = new_size;
    return 0;
}","undefined4 _array_list_shrink(void **param_1,ulong param_2)

{
  void *pvVar1;
  undefined *local_38;
  undefined4 local_14;
  
  if (param_2 < 0x1fffffffffffffffU - (long)param_1[1]) {
    local_38 = (undefined *)((long)param_1[1] + param_2);
    if (local_38 == (undefined *)param_1[2]) {
      local_14 = 0;
    }
    else if (param_1[2] < local_38) {
      local_14 = _array_list_expand_internal(param_1,local_38);
    }
    else {
      if (local_38 == (undefined *)0x0) {
        local_38 = (undefined *)((long)&mach_header_00000000.magic + 1);
      }
      pvVar1 = _realloc(*param_1,(long)local_38 << 3);
      if (pvVar1 == (void *)0x0) {
        *param_1 = (void *)0x0;
        param_1[2] = local_38;
        local_14 = 0xffffffff;
      }
      else {
        *param_1 = pvVar1;
        param_1[2] = local_38;
        local_14 = 0;
      }
    }
  }
  else {
    local_14 = 0xffffffff;
  }
  return local_14;
}",CWE-122,
json-c,"int array_list_insert_idx(struct array_list *arr, size_t idx, void *data)
{
	size_t move_amount;

	if (idx >= arr->length)
		return array_list_put_idx(arr, idx, data);

	/* we're at full size, what size_t can support */
	if (arr->length == SIZE_T_MAX)
		return -1;

	if (array_list_expand_internal(arr, arr->length + 1))
		return -1;

	move_amount = (arr->length - idx) * sizeof(void *);
	memmove(arr->array + idx + 1, arr->array + idx, move_amount);
	arr->array[idx] = data;
	arr->length++;
	return 0;
}","undefined4 _array_list_insert_idx(long *param_1,ulong param_2,undefined8 param_3)

{
  int iVar1;
  undefined4 local_14;
  
  if (param_2 < (ulong)param_1[1]) {
    if (param_1[1] == -1) {
      local_14 = 0xffffffff;
    }
    else {
      iVar1 = _array_list_expand_internal(param_1,param_1[1] + 1);
      if (iVar1 == 0) {
        ___memmove_chk(*param_1 + param_2 * 8 + 8,*param_1 + param_2 * 8,(param_1[1] - param_2) * 8,
                       0xffffffffffffffff);
        *(undefined8 *)(*param_1 + param_2 * 8) = param_3;
        param_1[1] = param_1[1] + 1;
        local_14 = 0;
      }
      else {
        local_14 = 0xffffffff;
      }
    }
  }
  else {
    local_14 = _array_list_put_idx(param_1,param_2,param_3);
  }
  return local_14;
}",arraylist.c,"int array_list_insert_idx(struct array_list *arr, size_t idx, void *data)
{
    size_t move_amount;

    if (idx >= arr->length)
        return array_list_put_idx(arr, idx, data);

    /* we're at full size, what size_t can support */
    if (arr->length == SIZE_T_MAX)
        return -1;

    if (array_list_expand_internal(arr, arr->length + 1))
        return -1;

    // VULNERABILITY: CWE-125
    move_amount = (arr->length - idx) * sizeof(void *);
    memmove(arr->array + idx + 1, arr->array + idx, move_amount);
    arr->array[idx] = data;
    arr->length++;
    return 0;
}","undefined4 _array_list_insert_idx(long *param_1,ulong param_2,undefined8 param_3)

{
  int iVar1;
  undefined4 local_14;
  
  if (param_2 < (ulong)param_1[1]) {
    if (param_1[1] == -1) {
      local_14 = 0xffffffff;
    }
    else {
      iVar1 = _array_list_expand_internal(param_1,param_1[1] + 1);
      if (iVar1 == 0) {
        ___memmove_chk(*param_1 + param_2 * 8 + 8,*param_1 + param_2 * 8,(param_1[1] - param_2) * 8,
                       0xffffffffffffffff);
        *(undefined8 *)(*param_1 + param_2 * 8) = param_3;
        param_1[1] = param_1[1] + 1;
        local_14 = 0;
      }
      else {
        local_14 = 0xffffffff;
      }
    }
  }
  else {
    local_14 = _array_list_put_idx(param_1,param_2,param_3);
  }
  return local_14;
}",CWE-125,
json-c,"int array_list_put_idx(struct array_list *arr, size_t idx, void *data)
{
	if (idx > SIZE_T_MAX - 1)
		return -1;
	if (array_list_expand_internal(arr, idx + 1))
		return -1;
	if (idx < arr->length && arr->array[idx])
		arr->free_fn(arr->array[idx]);
	arr->array[idx] = data;
	if (idx > arr->length)
	{
		/* Zero out the arraylist slots in between the old length
		   and the newly added entry so we know those entries are
		   empty.
		   e.g. when setting array[7] in an array that used to be 
		   only 5 elements longs, array[5] and array[6] need to be
		   set to 0.
		 */
		memset(arr->array + arr->length, 0, (idx - arr->length) * sizeof(void *));
	}
	if (arr->length <= idx)
		arr->length = idx + 1;
	return 0;
}","undefined4 _array_list_put_idx(long *param_1,ulong param_2,undefined8 param_3)

{
  int iVar1;
  undefined4 local_14;
  
  if (param_2 == 0xffffffffffffffff) {
    local_14 = 0xffffffff;
  }
  else {
    iVar1 = _array_list_expand_internal(param_1,param_2 + 1);
    if (iVar1 == 0) {
      if ((param_2 < (ulong)param_1[1]) && (*(long *)(*param_1 + param_2 * 8) != 0)) {
        (*(code *)param_1[3])(*(undefined8 *)(*param_1 + param_2 * 8));
      }
      *(undefined8 *)(*param_1 + param_2 * 8) = param_3;
      if ((ulong)param_1[1] < param_2) {
        ___memset_chk(*param_1 + param_1[1] * 8,0,(param_2 - param_1[1]) * 8,0xffffffffffffffff);
      }
      if ((ulong)param_1[1] <= param_2) {
        param_1[1] = param_2 + 1;
      }
      local_14 = 0;
    }
    else {
      local_14 = 0xffffffff;
    }
  }
  return local_14;
}",arraylist.c,"int array_list_put_idx(struct array_list *arr, size_t idx, void *data)
{
    if (idx > SIZE_T_MAX - 1)
        return -1;
    if (array_list_expand_internal(arr, idx + 1))
        return -1;
    if (idx < arr->length && arr->array[idx])
        arr->free_fn(arr->array[idx]);

    // VULNERABILITY: CWE-121
    arr->array[idx] = data;

    if (idx > arr->length)
    {
        /* Zero out the arraylist slots in between the old length
           and the newly added entry so we know those entries are
           empty.
           e.g. when setting array[7] in an array that used to be
           only 5 elements longs, array[5] and array[6] need to be
           set to 0.
        */
        memset(arr->array + arr->length, 0, (idx - arr->length) * sizeof(void *));
    }
    if (arr->length <= idx)
        arr->length = idx + 1;
    return 0;
}","undefined4 _array_list_put_idx(long *param_1,ulong param_2,undefined8 param_3)

{
  int iVar1;
  undefined4 local_14;
  
  if (param_2 == 0xffffffffffffffff) {
    local_14 = 0xffffffff;
  }
  else {
    iVar1 = _array_list_expand_internal(param_1,param_2 + 1);
    if (iVar1 == 0) {
      if ((param_2 < (ulong)param_1[1]) && (*(long *)(*param_1 + param_2 * 8) != 0)) {
        (*(code *)param_1[3])(*(undefined8 *)(*param_1 + param_2 * 8));
      }
      *(undefined8 *)(*param_1 + param_2 * 8) = param_3;
      if ((ulong)param_1[1] < param_2) {
        ___memset_chk(*param_1 + param_1[1] * 8,0,(param_2 - param_1[1]) * 8,0xffffffffffffffff);
      }
      if ((ulong)param_1[1] <= param_2) {
        param_1[1] = param_2 + 1;
      }
      local_14 = 0;
    }
    else {
      local_14 = 0xffffffff;
    }
  }
  return local_14;
}",CWE-121,
json-c,"int array_list_add(struct array_list *arr, void *data)
{
	/* Repeat some of array_list_put_idx() so we can skip several
	   checks that we know are unnecessary when appending at the end
	 */
	size_t idx = arr->length;
	if (idx > SIZE_T_MAX - 1)
		return -1;
	if (array_list_expand_internal(arr, idx + 1))
		return -1;
	arr->array[idx] = data;
	arr->length++;
	return 0;
}","undefined4 _array_list_add(long *param_1,undefined8 param_2)

{
  int iVar1;
  long lVar2;
  undefined4 local_14;
  
  lVar2 = param_1[1];
  if (lVar2 == -1) {
    local_14 = 0xffffffff;
  }
  else {
    iVar1 = _array_list_expand_internal(param_1,lVar2 + 1);
    if (iVar1 == 0) {
      *(undefined8 *)(*param_1 + lVar2 * 8) = param_2;
      param_1[1] = param_1[1] + 1;
      local_14 = 0;
    }
    else {
      local_14 = 0xffffffff;
    }
  }
  return local_14;
}",arraylist.c,"int array_list_add(struct array_list *arr, void *data)
{
    /* Repeat some of array_list_put_idx() so we can skip several
       checks that we know are unnecessary when appending at the end
    */
    size_t idx = arr->length;
    if (idx > SIZE_T_MAX - 1)
        return -1;
    if (array_list_expand_internal(arr, idx + 1))
        return -1;

    // VULNERABILITY: CWE-122
    arr->array[idx] = data;

    arr->length++;
    return 0;
}","undefined4 _array_list_add(long *param_1,undefined8 param_2)

{
  int iVar1;
  long lVar2;
  undefined4 local_14;
  
  lVar2 = param_1[1];
  if (lVar2 == -1) {
    local_14 = 0xffffffff;
  }
  else {
    iVar1 = _array_list_expand_internal(param_1,lVar2 + 1);
    if (iVar1 == 0) {
      *(undefined8 *)(*param_1 + lVar2 * 8) = param_2;
      param_1[1] = param_1[1] + 1;
      local_14 = 0;
    }
    else {
      local_14 = 0xffffffff;
    }
  }
  return local_14;
}",CWE-122,
json-c,"const char *json_object_iter_peek_name(const struct json_object_iterator *iter)
{
	JASSERT(NULL != iter);
	JASSERT(kObjectEndIterValue != iter->opaque_);

	return (const char *)(((const struct lh_entry *)iter->opaque_)->k);
}","undefined8 _json_object_iter_peek_name(undefined8 *param_1)

{
  return *(undefined8 *)*param_1;
}",json_object_iterator.c,"const char *json_object_iter_peek_name(const struct json_object_iterator *iter)
{
    JASSERT(NULL != iter);
    JASSERT(kObjectEndIterValue != iter->opaque_);

    // VULNERABILITY: CWE-125
    return (const char *)(((const struct lh_entry *)iter->opaque_)->k);
}","
undefined8 _json_object_iter_peek_name(undefined8 *param_1)

{
  return *(undefined8 *)*param_1;
}",CWE-125,
json-c,"struct json_object *json_object_iter_peek_value(const struct json_object_iterator *iter)
{
	JASSERT(NULL != iter);
	JASSERT(kObjectEndIterValue != iter->opaque_);

	return (struct json_object *)lh_entry_v((const struct lh_entry *)iter->opaque_);
}","void _json_object_iter_peek_value(undefined8 *param_1)

{
  _lh_entry_v(*param_1);
  return;
}",json_object_iterator.c,"struct json_object *json_object_iter_peek_value(const struct json_object_iterator *iter)
{
    JASSERT(NULL != iter);
    JASSERT(kObjectEndIterValue != iter->opaque_);

    // VULNERABILITY: CWE-125
    return (struct json_object *)lh_entry_v((const struct lh_entry *)iter->opaque_);
}","void _json_object_iter_peek_value(undefined8 *param_1)

{
  _lh_entry_v(*param_1);
  return;
}",CWE-125,
json-c,"json_bool json_object_iter_equal(const struct json_object_iterator *iter1,
                                 const struct json_object_iterator *iter2)
{
	JASSERT(NULL != iter1);
	JASSERT(NULL != iter2);

	return (iter1->opaque_ == iter2->opaque_);
}","bool _json_object_iter_equal(long *param_1,long *param_2)

{
  return *param_1 == *param_2;
}",json_object_iterator.c,"json_bool json_object_iter_equal(const struct json_object_iterator *iter1,
                                 const struct json_object_iterator *iter2)
{
    JASSERT(NULL != iter1);
    JASSERT(NULL != iter2);

    // VULNERABILITY: CWE-125
    return (iter1->opaque_ == iter2->opaque_);
}","bool _json_object_iter_equal(long *param_1,long *param_2)

{
  return *param_1 == *param_2;
}",CWE-125,
json-c,"static int json_escape_str(struct printbuf *pb, const char *str, size_t len, int flags)
{
	size_t pos = 0, start_offset = 0;
	unsigned char c;
	while (len)
	{
		--len;
		c = str[pos];
		switch (c)
		{
		case '\b':
		case '\n':
		case '\r':
		case '\t':
		case '\f':
		case '""':
		case '\\':
		case '/':
			if ((flags & JSON_C_TO_STRING_NOSLASHESCAPE) && c == '/')
			{
				pos++;
				break;
			}

			if (pos > start_offset)
				printbuf_memappend(pb, str + start_offset, pos - start_offset);

			if (c == '\b')
				printbuf_memappend(pb, ""\\b"", 2);
			else if (c == '\n')
				printbuf_memappend(pb, ""\\n"", 2);
			else if (c == '\r')
				printbuf_memappend(pb, ""\\r"", 2);
			else if (c == '\t')
				printbuf_memappend(pb, ""\\t"", 2);
			else if (c == '\f')
				printbuf_memappend(pb, ""\\f"", 2);
			else if (c == '""')
				printbuf_memappend(pb, ""\\\"""", 2);
			else if (c == '\\')
				printbuf_memappend(pb, ""\\\\"", 2);
			else if (c == '/')
				printbuf_memappend(pb, ""\\/"", 2);

			start_offset = ++pos;
			break;
		default:
			if (c < ' ')
			{
				char sbuf[7];
				if (pos > start_offset)
					printbuf_memappend(pb, str + start_offset,
					                   pos - start_offset);
				snprintf(sbuf, sizeof(sbuf), ""\\u00%c%c"", json_hex_chars[c >> 4],
				         json_hex_chars[c & 0xf]);
				printbuf_memappend_fast(pb, sbuf, (int)sizeof(sbuf) - 1);
				start_offset = ++pos;
			}
			else
				pos++;
		}
	}
	if (pos > start_offset)
		printbuf_memappend(pb, str + start_offset, pos - start_offset);
	return 0;
}","undefined8 _json_escape_str(long *param_1,long param_2,long param_3,uint param_4)

{
  uint uVar1;
  undefined auStack_48 [7];
  byte local_41;
  ulong local_40;
  ulong local_38;
  uint local_2c;
  long local_28;
  long local_20;
  long *local_18;
  
  local_38 = 0;
  local_40 = 0;
  local_2c = param_4;
  local_28 = param_3;
  local_20 = param_2;
  local_18 = param_1;
  while (local_28 != 0) {
    local_28 = local_28 + -1;
    local_41 = *(byte *)(local_20 + local_38);
    uVar1 = (uint)local_41;
    if ((((uVar1 - 8 < 3) || (uVar1 - 0xc < 2)) || (uVar1 == 0x22)) ||
       ((uVar1 == 0x2f || (uVar1 == 0x5c)))) {
      if (((local_2c & 0x10) == 0) || (local_41 != 0x2f)) {
        if (local_40 < local_38) {
          _printbuf_memappend(local_18,local_20 + local_40,local_38 - local_40);
        }
        if (local_41 == 8) {
          _printbuf_memappend(local_18,""\\b"",2);
        }
        else if (local_41 == 10) {
          _printbuf_memappend(local_18,""\\n"",2);
        }
        else if (local_41 == 0xd) {
          _printbuf_memappend(local_18,""\\r"",2);
        }
        else if (local_41 == 9) {
          _printbuf_memappend(local_18,""\\t"",2);
        }
        else if (local_41 == 0xc) {
          _printbuf_memappend(local_18,""\\f"",2);
        }
        else if (local_41 == 0x22) {
          _printbuf_memappend(local_18,""\\\"""",2);
        }
        else if (local_41 == 0x5c) {
          _printbuf_memappend(local_18,""\\\\"",2);
        }
        else if (local_41 == 0x2f) {
          _printbuf_memappend(local_18,""\\/"",2);
        }
        local_40 = local_38 + 1;
        local_38 = local_40;
      }
      else {
        local_38 = local_38 + 1;
      }
    }
    else if (local_41 < 0x20) {
      if (local_40 < local_38) {
        _printbuf_memappend(local_18,local_20 + local_40,local_38 - local_40);
      }
      ___snprintf_chk(auStack_48,7,0,7,""\\u00%c%c"");
      if (*(int *)((long)local_18 + 0xc) - *(int *)(local_18 + 1) < 7) {
        _printbuf_memappend(local_18,auStack_48,6);
      }
      else {
        ___memcpy_chk(*local_18 + (long)*(int *)(local_18 + 1),auStack_48,6,0xffffffffffffffff);
        *(int *)(local_18 + 1) = *(int *)(local_18 + 1) + 6;
        *(undefined *)(*local_18 + (long)*(int *)(local_18 + 1)) = 0;
      }
      local_40 = local_38 + 1;
      local_38 = local_40;
    }
    else {
      local_38 = local_38 + 1;
    }
  }
  if (local_40 < local_38) {
    _printbuf_memappend(local_18,local_20 + local_40,local_38 - local_40);
  }
  return 0;
}",json_object.c,"static int json_escape_str(struct printbuf *pb, const char *str, size_t len, int flags)
{
	size_t pos = 0, start_offset = 0;
	unsigned char c;
	while (len)
	{
		--len;
		c = str[pos];
		switch (c)
		{
		case '\b':
		case '\n':
		case '\r':
		case '\t':
		case '\f':
		case '""':
		case '\\':
		case '/':
			if ((flags & JSON_C_TO_STRING_NOSLASHESCAPE) && c == '/')
			{
				pos++;
				break;
			}

			if (pos > start_offset)
				printbuf_memappend(pb, str + start_offset, pos - start_offset);

			if (c == '\b')
				printbuf_memappend(pb, ""\\b"", 2);
			else if (c == '\n')
				printbuf_memappend(pb, ""\\n"", 2);
			else if (c == '\r')
				printbuf_memappend(pb, ""\\r"", 2);
			else if (c == '\t')
				printbuf_memappend(pb, ""\\t"", 2);
			else if (c == '\f')
				printbuf_memappend(pb, ""\\f"", 2);
			else if (c == '""')
				printbuf_memappend(pb, ""\\\"""", 2);
			else if (c == '\\')
				printbuf_memappend(pb, ""\\\\"", 2);
			else if (c == '/')
				printbuf_memappend(pb, ""\\/"", 2);

			start_offset = ++pos;
			break;
		default:
			if (c < ' ')
			{
				char sbuf[7];
				if (pos > start_offset)
					printbuf_memappend(pb, str + start_offset,
					                   pos - start_offset);
				snprintf(sbuf, sizeof(sbuf), ""\\u00%c%c"", json_hex_chars[c >> 4],
				         json_hex_chars[c & 0xf]);
				printbuf_memappend_fast(pb, sbuf, (int)sizeof(sbuf) - 1); //VULNERABILITY: CWE-125
				start_offset = ++pos;
			}
			else
				pos++;
		}
	}
	if (pos > start_offset)
		printbuf_memappend(pb, str + start_offset, pos - start_offset);
	return 0;
}","
undefined8 _json_escape_str(long *param_1,long param_2,long param_3,uint param_4)

{
  uint uVar1;
  undefined auStack_48 [7];
  byte local_41;
  ulong local_40;
  ulong local_38;
  uint local_2c;
  long local_28;
  long local_20;
  long *local_18;
  
  local_38 = 0;
  local_40 = 0;
  local_2c = param_4;
  local_28 = param_3;
  local_20 = param_2;
  local_18 = param_1;
  while (local_28 != 0) {
    local_28 = local_28 + -1;
    local_41 = *(byte *)(local_20 + local_38);
    uVar1 = (uint)local_41;
    if ((((uVar1 - 8 < 3) || (uVar1 - 0xc < 2)) || (uVar1 == 0x22)) ||
       ((uVar1 == 0x2f || (uVar1 == 0x5c)))) {
      if (((local_2c & 0x10) == 0) || (local_41 != 0x2f)) {
        if (local_40 < local_38) {
          _printbuf_memappend(local_18,local_20 + local_40,local_38 - local_40);
        }
        if (local_41 == 8) {
          _printbuf_memappend(local_18,""\\b"",2);
        }
        else if (local_41 == 10) {
          _printbuf_memappend(local_18,""\\n"",2);
        }
        else if (local_41 == 0xd) {
          _printbuf_memappend(local_18,""\\r"",2);
        }
        else if (local_41 == 9) {
          _printbuf_memappend(local_18,""\\t"",2);
        }
        else if (local_41 == 0xc) {
          _printbuf_memappend(local_18,""\\f"",2);
        }
        else if (local_41 == 0x22) {
          _printbuf_memappend(local_18,""\\\"""",2);
        }
        else if (local_41 == 0x5c) {
          _printbuf_memappend(local_18,""\\\\"",2);
        }
        else if (local_41 == 0x2f) {
          _printbuf_memappend(local_18,""\\/"",2);
        }
        local_40 = local_38 + 1;
        local_38 = local_40;
      }
      else {
        local_38 = local_38 + 1;
      }
    }
    else if (local_41 < 0x20) {
      if (local_40 < local_38) {
        _printbuf_memappend(local_18,local_20 + local_40,local_38 - local_40);
      }
      ___snprintf_chk(auStack_48,7,0,7,""\\u00%c%c"");
      if (*(int *)((long)local_18 + 0xc) - *(int *)(local_18 + 1) < 7) {
        _printbuf_memappend(local_18,auStack_48,6);
      }
      else {
        ___memcpy_chk(*local_18 + (long)*(int *)(local_18 + 1),auStack_48,6,0xffffffffffffffff);
        *(int *)(local_18 + 1) = *(int *)(local_18 + 1) + 6;
        *(undefined *)(*local_18 + (long)*(int *)(local_18 + 1)) = 0;
      }
      local_40 = local_38 + 1;
      local_38 = local_40;
    }
    else {
      local_38 = local_38 + 1;
    }
  }
  if (local_40 < local_38) {
    _printbuf_memappend(local_18,local_20 + local_40,local_38 - local_40);
  }
  return 0;
}",CWE-125,
